"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902476","GO:1902476","chloride transmembrane transport","49/7300","109/18888",0.44954128440367,1.1631418876461,1.35575488515459,0.104996069256387,0.247026691284941,0.170676709370184,"1192/1836/80727/25932/8542/6509/196527/10723/56262/7351/115111/1193/6529/6522/9481/9990/65012/2565/2563/1185/6560/57468/55107/57719/2743/6507/10861/2570/2562/2561/2554/2557/2560/246213/94015/1183/6505/2566/1184/2567/2558/63982/203859/50636/57348/57030/56923/266675/2556",49
"GO:0031098","GO:0031098","stress-activated protein kinase signaling cascade","28/7300","59/18888",0.474576271186441,1.22791734385883,1.39164489261169,0.105060832180294,0.247087512720321,0.170718732369382,"2305/7042/55872/51776/5606/11221/355/10269/3489/4217/64127/4067/23607/23542/1432/5594/4077/51347/54910/9344/64170/5478/388325/57551/51765/6885/10494/5595",28
"GO:0022404","GO:0022404","molting cycle process","44/7300","97/18888",0.45360824742268,1.17366473661912,1.36100976069578,0.105141603262743,0.247094441420583,0.170723519575796,"7042/22943/3488/1291/4804/8323/3066/10468/10269/1956/538/5154/4038/26018/55504/3624/135228/3065/6615/2131/8717/64434/54345/340481/4763/10855/6662/147495/7474/4669/92344/4488/54888/8549/4926/1001/3911/5970/1499/55612/7480/51588/2736/84283",44
"GO:0022405","GO:0022405","hair cycle process","44/7300","97/18888",0.45360824742268,1.17366473661912,1.36100976069578,0.105141603262743,0.247094441420583,0.170723519575796,"7042/22943/3488/1291/4804/8323/3066/10468/10269/1956/538/5154/4038/26018/55504/3624/135228/3065/6615/2131/8717/64434/54345/340481/4763/10855/6662/147495/7474/4669/92344/4488/54888/8549/4926/1001/3911/5970/1499/55612/7480/51588/2736/84283",44
"GO:0060324","GO:0060324","face development","25/7300","52/18888",0.480769230769231,1.24394099051633,1.39807603325556,0.105505808742955,0.247440285071243,0.170962471309895,"3213/1277/22943/1749/4313/64220/83690/9241/7043/6722/1909/6237/6899/220/4487/5594/7474/7763/51176/5914/5781/585/6497/2033/5595",25
"GO:1904263","GO:1904263","positive regulation of TORC1 signaling","25/7300","52/18888",0.480769230769231,1.24394099051633,1.39807603325556,0.105505808742955,0.247440285071243,0.170962471309895,"5292/652968/23274/83667/28956/64121/153129/6396/54468/29110/23387/1452/58528/151556/10542/1497/79726/84219/10670/51322/55593/10325/26001/6850/2033",25
"GO:0033137","GO:0033137","negative regulation of peptidyl-serine phosphorylation","15/7300","29/18888",0.517241379310345,1.33830892772792,1.44707754462091,0.105561532639055,0.247440285071243,0.170962471309895,"22943/3082/857/1647/624/4092/581/23171/578/9770/2039/9647/10399/27124/22876",15
"GO:0034656","GO:0034656","nucleobase-containing small molecule catabolic process","15/7300","29/18888",0.517241379310345,1.33830892772792,1.44707754462091,0.105561532639055,0.247440285071243,0.170962471309895,"1806/7378/200316/27350/60489/4521/9582/140564/4245/4860/151531/57089/51816/9615/81602",15
"GO:0045724","GO:0045724","positive regulation of cilium assembly","15/7300","29/18888",0.517241379310345,1.33830892772792,1.44707754462091,0.105561532639055,0.247440285071243,0.170962471309895,"9662/10801/49856/51364/153241/202018/55329/10807/221908/55835/3064/23300/9001/585/22873",15
"GO:0072207","GO:0072207","metanephric epithelium development","15/7300","29/18888",0.517241379310345,1.33830892772792,1.44707754462091,0.105561532639055,0.247440285071243,0.170962471309895,"3976/130497/25937/6772/9356/3913/358/3280/5311/6662/793/30812/10413/38/54361",15
"GO:2000273","GO:2000273","positive regulation of signaling receptor activity","15/7300","29/18888",0.517241379310345,1.33830892772792,1.44707754462091,0.105561532639055,0.247440285071243,0.170962471309895,"2048/8829/3066/8896/6347/3077/6868/3065/653361/729230/85358/151/154/10013/55294",15
"GO:0033135","GO:0033135","regulation of peptidyl-serine phosphorylation","56/7300","126/18888",0.444444444444444,1.14995433789954,1.3404277720233,0.106484060503133,0.249510621474131,0.172392916751625,"3976/7422/22943/960/3082/857/5008/1647/624/4092/6423/4916/581/1956/10459/4915/23171/219736/578/57731/284/9125/4282/7037/9770/10253/7295/369/85456/1981/29110/65018/79109/253260/10142/5562/7474/5979/117854/10044/51447/85440/627/2039/5743/3569/5058/9647/6622/10399/27124/10013/22876/7349/8312/9530",56
"GO:2000628","GO:2000628","regulation of miRNA metabolic process","41/7300","90/18888",0.455555555555556,1.17870319634703,1.34876544077342,0.10809430602391,0.253182097263853,0.17492962808052,"7422/7042/7291/5465/4804/8862/6774/8061/84913/1956/3725/4854/4775/1958/5978/6722/4790/4602/2353/6721/2624/2309/80149/6662/650/2113/26354/688/7157/283131/7040/5914/6688/4613/5970/5468/11006/2247/183/4086/5451",41
"GO:0010632","GO:0010632","regulation of epithelial cell migration","126/7300","298/18888",0.422818791946309,1.09400018387423,1.29818269983998,0.108199967022513,0.253182097263853,0.17492962808052,"4318/7422/6781/4223/7042/301/3690/285/3162/91862/8829/3673/3675/57381/3315/5606/5216/7057/11221/8754/1647/7114/2896/3037/1969/6915/811/958/6672/7026/54567/51564/2324/84913/382/64218/94/1839/1942/28984/6868/25865/284/23122/4780/23328/5025/7101/5764/5176/1634/5578/2822/25960/6237/7264/54453/2303/64094/5294/3728/79812/2624/348/659/10982/5581/5170/575/5641/4846/116150/5291/4763/80149/6662/7048/8828/51094/388/498/51466/5547/6776/7474/1793/6678/7424/2260/2113/2013/5335/394/27286/25930/5743/7040/152007/8660/161742/5336/100126351/6997/3791/374969/5468/1950/90355/9647/4233/54828/6667/9270/10000/10014/22846/2247/5801/10013/1512/183/57608/9922/55294/5793/7476",126
"GO:0035967","GO:0035967","cellular response to topologically incorrect protein","46/7300","102/18888",0.450980392156863,1.16686543110395,1.34118281069493,0.108250298278954,0.253182097263853,0.17492962808052,"857/3309/1649/10956/10959/581/7494/5771/1616/9451/26608/387923/30001/578/54431/202052/23645/79139/4780/5071/467/5770/7353/595/8440/7415/51283/51009/7466/26353/91319/468/23456/27230/5295/9217/8720/3303/55829/54788/10273/10399/2081/10013/79956/79982",46
"GO:0046620","GO:0046620","regulation of organ growth","46/7300","102/18888",0.450980392156863,1.16686543110395,1.34118281069493,0.108250298278954,0.253182097263853,0.17492962808052,"983/5292/861/8531/3481/5465/3142/7046/10370/26524/7161/1848/3574/7373/9472/9241/2735/2296/9254/2303/6788/6909/54440/1432/6910/2066/5997/9686/5999/27230/2539/407014/2260/9150/23286/407975/84944/10413/170302/5950/80014/7472/2247/6647/2395/3720",46
"GO:2000177","GO:2000177","regulation of neural precursor cell proliferation","46/7300","102/18888",0.450980392156863,1.16686543110395,1.34118281069493,0.108250298278954,0.253182097263853,0.17492962808052,"79801/7422/3688/63950/259266/2316/2787/145864/54567/57540/4192/284403/1000/120892/10763/6259/1495/4067/7101/5764/407738/1404/3642/23028/2624/2737/55198/2309/4763/6692/51286/7474/2016/7424/63827/1462/7157/644943/1499/1950/3611/9760/3400/2247/6663/404037",46
"GO:0019933","GO:0019933","cAMP-mediated signaling","33/7300","71/18888",0.464788732394366,1.2025930928034,1.35742953178901,0.109062071629406,0.254986802226336,0.176176542342208,"133/115004/117/196/9472/2740/5150/1385/10411/10487/5138/2827/108/466/8654/9693/8844/4987/83873/8622/57211/5141/5598/6662/51555/5153/107/1609/2770/5136/7320/7349/997",33
"GO:0051146","GO:0051146","striated muscle cell differentiation","132/7300","313/18888",0.421725239616613,1.09117072957241,1.2909275362629,0.109266864864561,0.255371583323505,0.176442396898859,"6382/7422/983/1827/8038/4323/3688/858/5738/22943/50507/2146/3627/2318/3488/3481/9518/836/1291/9948/29767/840/4283/5465/577/71/148/30846/1948/811/8841/7494/4000/10398/51177/57462/7373/10269/246329/4627/9759/9472/90/5159/8740/64855/1000/4904/57190/29766/10529/85461/55909/55544/57538/10611/7248/6722/9215/170689/4211/2314/57486/6443/23345/844/9043/552/5339/6261/5530/2648/6899/1525/6548/3084/3566/1432/6910/5997/10818/4608/115701/575/200539/5532/130827/3764/4487/10211/64091/5239/4773/5925/650/5999/9096/150094/2539/8324/1793/4669/963/7111/11149/79147/9150/11096/688/79191/627/8837/3756/8736/6495/7040/2876/5914/6546/6416/6926/6497/23363/9794/2274/7480/10014/6444/4625/10105/9750/7138",132
"GO:0140013","GO:0140013","meiotic nuclear division","85/7300","197/18888",0.431472081218274,1.11638968082887,1.30337683664204,0.109831075572637,0.255620088546145,0.176614095161265,"10051/9133/9232/3976/991/10403/83540/6790/7272/23397/10635/5888/1164/7153/151648/259266/84057/5347/55706/83990/11130/25788/9319/2177/26271/81930/8438/10096/57082/146956/675/84930/29893/23236/56907/811/9665/9700/11077/10592/994/5810/10609/4603/63979/3619/25879/9134/25858/2827/55743/10734/56776/51547/2801/22887/116138/79173/10361/4487/378708/256126/23304/10388/7474/79703/286151/4439/5889/84501/472/23353/898/201254/4488/57697/4292/84944/6196/4361/245711/56155/54361/7320/80198",85
"GO:0051702","GO:0051702","biological process involved in interaction with symbiont","53/7300","119/18888",0.445378151260504,1.15237020835732,1.32340158946354,0.110102201715599,0.255620088546145,0.176614095161265,"5806/4057/2335/54210/858/5091/8542/23137/998/79677/4615/2597/1105/3725/8411/23076/1025/64127/5978/5071/3065/10605/9218/5479/5245/6882/348/440275/6352/22938/80149/51176/5297/3482/8819/23435/9150/1072/2194/55808/64710/5289/2876/25827/2150/64170/140823/222236/54606/6667/11334/2332/2033",53
"GO:0002830","GO:0002830","positive regulation of type 2 immune response","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"64127/91543/3566/3606/163486/5590/972/3569/5914/942",10
"GO:0006044","GO:0006044","N-acetylglucosamine metabolic process","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"140838/8534/9215/2135/10724/4248/10007/9435/4166/55577",10
"GO:0006595","GO:0006595","polyamine metabolic process","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"6611/6303/4953/4946/54498/6723/51582/51686/112483/262",10
"GO:0007096","GO:0007096","regulation of exit from mitosis","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"11065/113130/9735/9183/28984/84687/10361/9587/8697/8555",10
"GO:0009125","GO:0009125","nucleoside monophosphate catabolic process","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"1806/7378/1890/22978/84618/10591/4860/151531/9615/30833",10
"GO:0010310","GO:0010310","regulation of hydrogen peroxide metabolic process","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"6648/5880/10811/65018/124056/1497/3240/23530/6622/10013",10
"GO:0010544","GO:0010544","negative regulation of platelet activation","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"7056/5154/114897/10019/81542/84959/348/4846/5270/170692",10
"GO:0010715","GO:0010715","regulation of extracellular matrix disassembly","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"10630/1803/2191/23122/6624/4921/3569/7040/4241/146206",10
"GO:0015936","GO:0015936","coenzyme A metabolic process","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"54677/283927/47/390916/60490/79717/79877/38/3156/254552",10
"GO:0019184","GO:0019184","nonribosomal peptide biosynthetic process","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"2729/4780/2730/6506/2937/4258/3029/6505/2687/23657",10
"GO:0019896","GO:0019896","axonal transport of mitochondrion","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"22906/55638/84709/4137/4976/9001/4747/10013/3281/9638",10
"GO:0035234","GO:0035234","ectopic germ cell programmed cell death","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"8531/835/581/10388/3815/3552/598/84944/6647/7320",10
"GO:0042481","GO:0042481","regulation of odontogenesis","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"4804/4982/947/80320/5579/4487/650/147495/340419/860",10
"GO:0043116","GO:0043116","negative regulation of vascular permeability","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"7422/133/6833/9590/284/5138/6456/23576/10979/135",10
"GO:0071243","GO:0071243","cellular response to arsenic-containing substance","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"3162/1616/7415/80149/54407/7390/119391/1654/10105/2872",10
"GO:0072673","GO:0072673","lamellipodium morphogenesis","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"10630/960/51177/4650/348110/23189/10006/57175/8936/6642",10
"GO:1901569","GO:1901569","fatty acid derivative catabolic process","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"1800/11313/283927/215/5019/390916/7920/38/254552/128486",10
"GO:2000811","GO:2000811","negative regulation of anoikis","10/7300","18/18888",0.555555555555556,1.43744292237443,1.47370437787045,0.110178296433197,0.255620088546145,0.176614095161265,"3688/3678/857/6591/8503/4915/4170/5166/57343/51651",10
"GO:0071695","GO:0071695","anatomical structure maturation","115/7300","271/18888",0.424354243542435,1.09797300712733,1.28936213268763,0.110383669957927,0.255786984910281,0.176729407891596,"4057/7422/56975/6790/7042/7298/23306/9319/26271/9928/11173/283/675/3745/339674/577/123041/1649/9334/51441/4313/9991/2302/7855/79084/399979/30819/5880/55027/94/81624/994/1003/26047/120892/57731/1909/3280/27289/712/137964/7704/718/117155/25858/6261/372/2131/375790/8314/3600/23028/2624/64434/1901/54345/23294/5745/23787/79670/25893/2309/84456/4763/5364/54760/5925/650/8642/2629/51286/7474/5979/2539/8941/84530/2260/201164/860/30812/5241/4488/54888/23318/695/865/8578/64581/5566/1910/3786/9331/1001/3791/51412/10116/10507/5468/1499/57560/6196/359845/8851/55612/7480/11334/8938/10013/100533183/29887/6911/29842/6663/84283/1605",115
"GO:0007035","GO:0007035","vacuolar acidification","18/7300","36/18888",0.5,1.29369863013699,1.39995195927937,0.110491921198252,0.255786984910281,0.176729407891596,"25932/2896/23312/535/6556/155066/523/10312/533/1657/84317/23545/1201/51606/8992/5538/23557/9296",18
"GO:0045815","GO:0045815","transcription initiation-coupled chromatin remodeling","18/7300","36/18888",0.5,1.29369863013699,1.39995195927937,0.110491921198252,0.255786984910281,0.176729407891596,"23558/4221/11091/51504/4297/84148/51547/6602/9555/8850/26155/7157/100129583/29104/6688/84656/2033/84661",18
"GO:0048026","GO:0048026","positive regulation of mRNA splicing, via spliceosome","18/7300","36/18888",0.5,1.29369863013699,1.39995195927937,0.110491921198252,0.255786984910281,0.176729407891596,"6434/79084/10262/26528/5394/9967/1153/4686/22938/65110/29896/1207/5935/4928/56853/27316/9588/11189",18
"GO:0060218","GO:0060218","hematopoietic stem cell differentiation","18/7300","36/18888",0.5,1.29369863013699,1.39995195927937,0.110491921198252,0.255786984910281,0.176729407891596,"1021/1636/54517/5008/51441/10538/7538/6722/4780/2296/10019/7520/2131/7157/10443/5469/6422/1106",18
"GO:0071425","GO:0071425","hematopoietic stem cell proliferation","18/7300","36/18888",0.5,1.29369863013699,1.39995195927937,0.110491921198252,0.255786984910281,0.176729407891596,"5292/1636/861/675/2120/6591/51441/6423/2122/8848/947/7520/5134/2629/7474/80169/10443/7480",18
"GO:0090087","GO:0090087","regulation of peptide transport","87/7300","202/18888",0.430693069306931,1.11437406754374,1.29713075277468,0.110820561445163,0.256452466309781,0.17718920506907,"2746/84876/7200/3745/3767/23236/2550/18/9572/6833/5213/56262/7351/8398/1956/65220/6566/94121/5715/3077/55638/5978/57555/415116/6279/5071/56943/2822/952/11069/252983/8864/5530/240/111/8622/5579/10312/55107/9024/23410/760/406/3123/6352/5581/84522/130399/2151/5532/23178/114/972/6616/25924/27230/2645/23435/6804/6717/9066/9854/2850/1268/2781/7447/5566/3569/8660/90550/6934/8447/3708/5781/2150/5950/5106/51092/1113/91608/6422/54795/8938/3358/7349/7260/90007",87
"GO:0010803","GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway","30/7300","64/18888",0.46875,1.21284246575342,1.35372668023688,0.110970650663567,0.256452466309781,0.17718920506907,"837/114769/8737/834/841/7132/5771/28511/10293/9261/7128/7186/6868/5071/10010/246330/84888/7805/9825/8877/90268/3304/22900/83643/3303/29108/2150/6850/51588/5516",30
"GO:0048814","GO:0048814","regulation of dendrite morphogenesis","30/7300","64/18888",0.46875,1.21284246575342,1.35372668023688,0.110970650663567,0.256452466309781,0.17718920506907,"2048/577/64689/85442/11178/7101/23345/26012/5789/5530/57465/9693/7804/5048/11141/6792/9820/5911/23072/3706/1136/23316/6383/10458/10507/23043/816/23363/56896/10013",30
"GO:2000179","GO:2000179","positive regulation of neural precursor cell proliferation","30/7300","64/18888",0.46875,1.21284246575342,1.35372668023688,0.110970650663567,0.256452466309781,0.17718920506907,"7422/3688/63950/259266/2316/2787/145864/54567/57540/4192/284403/10763/6259/4067/7101/1404/3642/23028/2737/7424/63827/1462/644943/1499/1950/9760/3400/2247/6663/404037",30
"GO:0051279","GO:0051279","regulation of release of sequestered calcium ion into cytosol","38/7300","83/18888",0.457831325301205,1.18459151675194,1.33768172095245,0.110981319278627,0.256452466309781,0.17718920506907,"3690/3627/4283/1729/581/1193/9472/6373/2280/57190/2149/5031/57338/817/4067/84502/7220/5311/844/84959/477/5581/5170/5350/2946/1535/3064/6717/5335/5566/801/287/808/5777/9001/6262/6546/6622",38
"GO:0044282","GO:0044282","small molecule catabolic process","156/7300","373/18888",0.418230563002681,1.08212861287598,1.27152739793649,0.111964071994839,0.258629267794554,0.178693209808156,"7291/89839/7915/137872/2746/217/2747/1806/7378/36/883/2720/259307/1594/5095/9123/4329/5465/18/200316/1800/5213/3074/27350/4942/3101/54677/60489/6999/10690/2875/10247/51084/152926/57103/2639/6566/874/8942/112817/83667/5230/197257/4521/3032/8644/5226/283927/3712/54511/5224/875/215/102724560/11165/9582/140564/23659/10858/221/5444/51268/55556/130589/4245/7263/2653/4860/2592/51390/8630/5019/10007/390916/23175/3099/2582/151531/5194/2710/4846/64900/6652/23417/23576/10295/80150/642/3423/51181/7167/3073/2166/23464/3028/10588/10449/2645/33/6470/27165/587/3029/1666/8277/2023/57089/10478/7157/5446/2805/1268/51302/8578/4552/6342/9784/55577/3155/51816/8564/256356/55268/84706/8660/254013/9615/38/1757/5223/23498/1610/10993/5315/81602/79644/5106/10455/26275/5191/51/55289/254552/11112/3295/3607/138199/8310/208/414328/1892/56267/9942/2110/57026/2526",156
"GO:0044088","GO:0044088","regulation of vacuole organization","27/7300","57/18888",0.473684210526316,1.22560922855083,1.35393019417387,0.112389334568898,0.25936332238505,0.179200385860073,"302/1947/2048/2896/51100/8723/120892/57533/200576/9554/55062/64112/65018/5532/8396/55254/55353/8678/29978/25782/23130/8897/79142/51375/90678/9638/81876",27
"GO:0051452","GO:0051452","intracellular pH reduction","27/7300","57/18888",0.473684210526316,1.22560922855083,1.35393019417387,0.112389334568898,0.25936332238505,0.179200385860073,"25932/2896/9497/23682/23312/84679/535/552/6556/155066/523/57468/10312/760/56833/533/1657/653519/84317/51463/23545/1201/51606/8992/5538/23557/9296",27
"GO:0006413","GO:0006413","translational initiation","55/7300","124/18888",0.443548387096774,1.14763588157313,1.30911780332488,0.112404387906088,0.25936332238505,0.179200385860073,"9689/3315/51441/10959/64410/9451/10657/5499/1978/55024/9811/23645/8562/1967/8668/1973/8662/10605/3692/28969/8894/54505/8440/149420/1981/90850/440275/6352/4686/8891/7812/1982/6059/6199/84285/6193/468/22927/7884/8890/5611/26058/1654/255308/8665/1977/54915/400961/27335/253943/253314/2332/219402/28985/8663",55
"GO:0007099","GO:0007099","centriole replication","21/7300","43/18888",0.488372093023256,1.26361261548264,1.37353909084343,0.112645685646043,0.259637061289427,0.179389518682857,"1017/10733/672/6491/9662/23636/163786/284403/22995/153241/2648/116840/55755/8850/79959/221908/55835/27243/55722/25914/284001",21
"GO:0032506","GO:0032506","cytokinetic process","21/7300","43/18888",0.488372093023256,1.26361261548264,1.37353909084343,0.112645685646043,0.259637061289427,0.179389518682857,"55165/1894/9212/29127/10112/8826/10788/128239/9585/56907/23636/4627/55909/5339/116840/6242/129531/84501/51429/27243/27183",21
"GO:0046640","GO:0046640","regulation of alpha-beta T cell proliferation","21/7300","43/18888",0.488372093023256,1.26361261548264,1.37353909084343,0.112645685646043,0.259637061289427,0.179389518682857,"3659/29126/57045/3105/8764/940/6522/3559/729230/916/7048/7535/3606/5788/9479/3965/6850/3133/51561/51043/64115",21
"GO:0051403","GO:0051403","stress-activated MAPK cascade","24/7300","50/18888",0.48,1.24195068493151,1.35966882100648,0.11307384464803,0.260434861630392,0.179940738213921,"2305/7042/55872/51776/11221/355/3489/4217/64127/23607/23542/1432/5594/4077/51347/54910/9344/64170/5478/388325/57551/6885/10494/5595",24
"GO:0060976","GO:0060976","coronary vasculature development","24/7300","50/18888",0.48,1.24195068493151,1.35966882100648,0.11307384464803,0.260434861630392,0.179940738213921,"7422/1636/8829/8862/7046/23129/11064/5159/5754/6722/163/10454/84516/6899/6910/3764/639/51684/79659/9784/161742/2719/6444/2247",24
"GO:0006007","GO:0006007","glucose catabolic process","14/7300","27/18888",0.518518518518518,1.34161339421613,1.40985059508935,0.113658184244115,0.261023316437661,0.180347315857799,"5213/3101/57103/5230/5224/3099/7167/2645/8277/2023/7157/5223/5315/3607",14
"GO:0007205","GO:0007205","protein kinase C-activating G protein-coupled receptor signaling pathway","14/7300","27/18888",0.518518518518518,1.34161339421613,1.40985059508935,0.113658184244115,0.261023316437661,0.180347315857799,"1154/2149/2596/1608/2915/139189/1128/1607/8526/9162/1609/56288/135/8525",14
"GO:0007274","GO:0007274","neuromuscular synaptic transmission","14/7300","27/18888",0.518518518518518,1.34161339421613,1.40985059508935,0.113658184244115,0.261023316437661,0.180347315857799,"1134/246329/9873/9215/51542/23095/6812/5864/1128/26059/89848/85366/1136/23504",14
"GO:0031579","GO:0031579","membrane raft organization","14/7300","27/18888",0.518518518518518,1.34161339421613,1.40985059508935,0.113658184244115,0.261023316437661,0.180347315857799,"858/302/857/1291/23180/91663/6281/10211/81035/914/5788/2013/1201/5538",14
"GO:0035458","GO:0035458","cellular response to interferon-beta","14/7300","27/18888",0.518518518518518,1.34161339421613,1.40985059508935,0.113658184244115,0.261023316437661,0.180347315857799,"3428/3659/6772/3455/340061/10581/815/117854/4332/3454/4938/7098/801/997",14
"GO:0060669","GO:0060669","embryonic placenta morphogenesis","14/7300","27/18888",0.518518518518518,1.34161339421613,1.40985059508935,0.113658184244115,0.261023316437661,0.180347315857799,"9021/133/3481/10959/6768/7855/3491/10155/8648/6692/51176/2885/10049/677",14
"GO:0070861","GO:0070861","regulation of protein exit from endoplasmic reticulum","14/7300","27/18888",0.518518518518518,1.34161339421613,1.40985059508935,0.113658184244115,0.261023316437661,0.180347315857799,"55741/10956/111089941/9695/6653/51465/55754/9024/51009/111240474/91319/89866/10134/9648",14
"GO:1903077","GO:1903077","negative regulation of protein localization to plasma membrane","14/7300","27/18888",0.518518518518518,1.34161339421613,1.40985059508935,0.113658184244115,0.261023316437661,0.180347315857799,"2633/10434/10959/5525/64114/23433/51225/1445/116372/55022/598/7040/8500/9528",14
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","35/7300","76/18888",0.460526315789474,1.19156452775775,1.32813762907122,0.113745321786303,0.261034619928812,0.180355125712937,"3309/1649/10956/10959/581/7494/5771/9451/26608/387923/30001/578/54431/23645/79139/4780/467/5770/595/8440/7415/51283/51009/7466/91319/468/27230/5295/9217/8720/55829/10273/10399/2081/79956",35
"GO:0042267","GO:0042267","natural killer cell mediated cytotoxicity","35/7300","76/18888",0.460526315789474,1.19156452775775,1.32813762907122,0.113745321786303,0.261034619928812,0.180355125712937,"5873/80329/79465/203068/2214/3106/80328/3105/5819/127544/10666/4818/3134/5817/10859/146850/57823/3135/1054/10383/914/3606/84868/7409/3902/10125/7040/5777/3002/3965/3133/114836/3824/3820/1398",35
"GO:1905954","GO:1905954","positive regulation of lipid localization","50/7300","112/18888",0.446428571428571,1.15508806262231,1.30654544664666,0.113820859443072,0.261113604574967,0.180409698113297,"302/304/857/6696/123/4481/114885/5244/1588/151176/114897/22925/29923/51499/4282/5321/4790/5025/4602/9619/10396/718/2587/5444/6721/9641/80820/55754/348/1066/4023/80149/10162/160518/27166/948/3552/21/6342/51761/9536/9227/4828/5468/9388/6256/54209/8792/128486/222008",50
"GO:0045739","GO:0045739","positive regulation of DNA repair","57/7300","129/18888",0.441860465116279,1.14326855686524,1.29592413067971,0.114555931558575,0.262705007366181,0.181509236751304,"10635/5111/2305/672/8914/2070/7398/6605/56907/86/55257/1956/10459/23201/55135/57103/3014/23514/60/2187/8607/10155/1663/11284/112441434/54537/9274/56776/6595/10856/5582/51720/6602/54929/10039/79184/1054/2140/6601/2138/84501/57599/55719/84142/9275/57332/605/10445/7515/84250/9577/51412/8089/113510/51588/6603/54556",57
"GO:0006304","GO:0006304","DNA modification","45/7300","100/18888",0.45,1.16432876712329,1.30771166630554,0.114697988660665,0.262935822380946,0.18166871242168,"90853/55247/3070/2146/54069/3182/200316/6996/27350/1786/60489/7374/10269/8493/79068/51010/10155/9582/25840/4297/140564/8930/54815/2353/64863/54737/1789/10039/252969/57673/79661/51008/79813/54726/5926/84164/4552/4595/118460/1545/1788/81602/9760/80312/221120",45
"GO:0002791","GO:0002791","regulation of peptide secretion","86/7300","200/18888",0.43,1.11258082191781,1.27038886079083,0.115970085630737,0.265756060539581,0.183617283104679,"2746/84876/7200/3745/3767/23236/2550/18/9572/6833/5213/56262/7351/8398/1956/65220/6566/94121/5715/3077/55638/5978/57555/415116/6279/5071/56943/2822/952/11069/252983/8864/5530/240/111/8622/5579/10312/55107/9024/23410/406/3123/6352/5581/84522/130399/2151/5532/23178/114/972/6616/25924/27230/2645/23435/6804/6717/9066/9854/2850/1268/2781/7447/5566/3569/8660/90550/6934/8447/3708/5781/2150/5950/5106/51092/1113/91608/6422/54795/8938/3358/7349/7260/90007",86
"GO:0048644","GO:0048644","muscle organ morphogenesis","37/7300","81/18888",0.45679012345679,1.18189751395231,1.30211153915797,0.118015897840633,0.267608554027159,0.184897215612963,"1281/3976/7042/30008/2022/4092/7046/5457/54567/2535/8321/9241/2280/1909/2296/54583/4634/2303/6899/3084/1901/650/79810/27230/7474/4669/85366/7040/145258/4638/6262/1301/1270/57493/5469/7472/4625",37
"GO:0061333","GO:0061333","renal tubule morphogenesis","37/7300","81/18888",0.45679012345679,1.18189751395231,1.30211153915797,0.118015897840633,0.267608554027159,0.184897215612963,"7422/1282/255743/9953/130497/9653/2297/9241/4435/9955/3280/25789/3217/5311/26249/3207/2737/80000/6662/650/8642/2138/1497/30812/79191/64412/170690/8549/6495/3911/1499/2719/3611/2247/54361/183/7481",37
"GO:0006206","GO:0006206","pyrimidine nucleobase metabolic process","9/7300","16/18888",0.5625,1.45541095890411,1.44641588097763,0.118084908406945,0.267608554027159,0.184897215612963,"7298/1806/1890/1503/4329/6240/7372/5594/51727",9
